project,rank1,rank2,rank3,rank4,rank5,rank6
Differential approaches for efficient attack-graph generation,0,1,0,0,0,0
Dynamic Network Segmentation for Cyber-Defence,0,0,0,0,0,0
Generative methods for Adversarially Testing Machine Learning Models,0,0,0,0,1,0
Integrating LLMs with attack emulation for automated red-teaming,0,0,0,0,0,0
Learning and Modelling Legacy Protocols,0,0,1,0,0,0
Learning Causality in Cyber Physical Systems,0,0,0,0,0,0
Other Projects in CyberSecurity,0,0,0,0,0,0
Producing Automated Assurance Case Fragments from combined Security and Safety Analysis,0,0,0,0,0,0
SysML 2.0 tools for security and safety modelling,0,0,0,0,0,0
The Vulnerability and Defence of Embedded Machine Learning,0,1,0,0,0,2
Detecting vulnerabilities in source code using LLMs,0,1,0,1,1,2
Randomness in Deep Learning for Security,0,0,0,0,0,0
Unsupervised anomaly detection for Web access logs,0,1,1,1,0,0
Data Visualisation based on Conceptual Modelling,0,0,0,2,0,1
Map It: Tools to support the easy visualisation of data as maps,0,0,0,2,2,0
Op-Art Generator and Animator,0,0,2,0,0,0
Relational Algebra and SQL Query Visualisation,0,2,4,1,0,0
Semanitic Web Schema and Data Visualiser,0,0,0,0,0,0
What makes London traffic change?,0,1,0,3,0,1
An optimisation perspective on multivariate information theory for neural computation,0,0,0,0,0,0
Building and interpreting models for electronic health records during cannabis therapy,0,2,2,2,0,0
Explaining brain organisation through spatially embedded deep neural networks,0,3,1,1,0,0
Leveraging ML to innovate optimization frameworks for brain simulations,0,0,2,1,1,0
Dynamic multiagent decision-making via extensive-form polymatrix games,0,1,1,1,0,0
Fast variational inequality solvers for multiagent decision making,0,0,1,1,0,0
Multiagent decision-making: fast equilibrium computation via polymatrix games,0,2,2,0,0,0
Propose your own project,0,0,0,0,0,0
Safe guaranteed AI for control,0,1,0,1,0,1
A New Scalable Runtime for LLM Training and Inference,0,0,0,0,2,0
C to Rust Compiler Using Large Language Models (LLM),0,0,1,2,1,0
Designing a Portable OS with Native WebAssembly Binaries,0,1,1,4,1,0
Embedded Intravisor using Hardware Memory Capabilities,0,0,0,0,0,0
Implementing Modern DL Algorithms in a Novel Training System,0,0,0,0,1,0
"Projects in Large-Scale Distributed Systems, Operating Systems and Databases",0,0,1,0,0,0
Supercomputing for the Masses with Serverless WebAssembly and OpenMP,0,1,1,2,0,0
Transparent Migration of Serverless Functions in Cloud,0,3,0,1,0,0
Apply DBMS Analytics Techniques to Large-Scale Crowd/Physics Simulation in Unreal Engine,0,0,0,0,0,0
Black-Box Query Optimization: Query Plan Exploration,0,1,2,0,0,0
Exploring Bottlenecks and Optimisations for Large Language Models and Vector Databases in RA-LLMs,0,1,0,2,1,1
GNNs for Black-Box Database Query Cost Estimation,0,0,0,0,0,1
Wisent++: A C++ Library for Composability-Enabled Data File Formats,0,0,0,3,1,0
Analyzing the computational role of complex representations in RNNs,0,1,3,0,0,0
Evaluative AI via Argumentation for Interactive Explanation,0,2,0,0,0,0
Explainable Reinforcement Learning for Formula One Race Strategy,0,0,3,0,0,0
Argumentative Claim-Based Explanations,0,0,0,1,0,0
Graph Neural Networks for Approximate Argumentative Reasoning and Causal Discovery,0,1,1,1,0,0
own proposalImplementing Unsaturated Types In Haskell,0,0,0,0,0,0
Conversational Robots for People with Dementia,0,2,0,3,2,1
Inverse reinforcement learning for Vehicle-to-Grid (V2G) charging modelling,0,0,1,1,0,0
Analysing relationships and disagreements between explanation methods for deep neural models,0,0,0,0,0,1
Arguing with Neural Networks based on Explanations,0,0,2,0,0,0
Enhancing Brain Tumour Prognosis with Neuro-Argumentative Learning and Multi-Modal Patient Data from a Real-World Wearable Clinical Trial,0,2,3,0,4,1
Neuro-Argumentative Machine Learning with Legal Text,0,1,1,2,1,0
Piecewise linear softmax approximations for tighter machine learning certification,0,0,0,0,0,1
Call by Value and Call by Name for Classical Calculi with Implication and Negation,0,0,0,1,0,0
Call by Value for Lambda Mu with Negation,0,0,0,0,0,1
Predicates for Featherweight Java,0,0,0,0,0,0
Types for Featherweight Java with control,0,0,0,1,0,1
A cloud FPGA runtime for practical multi-tenant security,0,0,0,0,1,0
A cloud service framework with hardware-software co-design to improve application performance and security,0,0,0,0,0,0
A distributed application runtime for the future data center,0,1,1,0,1,0
A distributed caching layer for the future data center,0,1,0,0,0,0
A distributed file system service for the future data center,0,0,0,0,0,0
A new container image mechanism to optimize performance and memory density of cloud VMs,0,0,0,0,0,0
A new formal method to verify security in multi-tenant cloud FPGAs,0,0,0,1,0,0
A new framework to make application services secure-by-construction in the future cloud,0,0,0,0,0,0
A new hardware extension for implementing OS privilege levels with optimal performance,0,1,0,0,0,0
A new hardware/software co-design to accelerate memory capability revocation in the CHERI architecture,0,0,0,0,0,0
A new set of distributed system call optimizations for the operating system of future data centers,0,0,0,0,1,0
A new simulation approach for measuring application performance and interference in the cloud,0,0,0,0,0,0
A new tool for universal dynamic program modification and analysis,0,0,0,0,0,0
A practical method to formally analyse the security properties of cloud FPGAs,0,0,0,0,0,0
A remote block storage service for the future data center,0,0,0,0,0,0
A scalable protocol for distributed authorization in the future data center,0,0,0,0,0,0
A service to access remote GPUs in future disaggregated data centers,0,0,0,0,0,0
A universal load-balancing service for the future data center,0,0,0,0,1,0
A user-level network stack for zero-copy communication in cloud micro-services,0,0,0,0,0,0
Accelerating LLM inference in the future data center,0,1,1,0,0,0
Adding self-optimizing concurrency to a Rust-based application runtime,0,0,0,1,0,0
Adding self-optimizing concurrency to a secure operating system for the future data center,0,1,1,0,0,0
An automated tool to help optimize cache coherency performance,0,0,0,1,0,1
Analysing the limits of compute performance via instruction-level parallelism,0,1,0,1,1,0
Using eBPF to accelerate the operating system of the future data center,0,0,1,0,0,0
Augmented Reality Whiteboard Coding,0,4,4,2,2,1
Automated Story Illustration,0,1,2,0,2,0
Automated Video Editing,0,1,1,0,1,1
Machine Learning Auto-Marker,0,1,0,2,1,0
Reliable Concurrency Testing Framework,0,2,0,0,1,0
RTFM - Reinforcement Training for Manuals,0,0,1,0,1,1
Social Event Attendance Capture - Person Recognition,0,2,1,1,0,1
Visualising Decisions,0,3,2,1,0,1
Voice Recognition Escape Room,0,1,1,3,0,0
Ensemble Approaches to Improve Data Poisoning Guarantees,0,0,0,2,0,0
Ensemble Approaches to Improve Predictive Privacy Guarantees,0,0,0,1,0,0
LLMs: Curating Data Through Training Dynamics,0,0,2,1,0,0
Provably Fair Data Imputation in Machine Learning,0,0,0,2,0,0
Who does dataset specific private prediction protect?,0,1,2,0,0,0
A Probabilistic Dragon Compiler,0,0,0,0,0,0
Optimisation in Quantum Computation,0,0,0,0,0,0
Probabilistic Couplings,0,0,0,0,0,0
Probabilistic Programming,0,0,0,0,0,0
Program Synthesis and Optimisation Tools,0,0,0,0,0,0
Quantum Automata,0,0,0,1,0,0
RM Compiler,0,0,1,0,0,0
Embedded Domain-Specific Language for Typesetting,0,2,1,1,0,1
Improving the asymptotics of `precedence` and choice in Parsley,0,0,0,0,0,1
Mdoc for Haskell,0,1,0,0,0,0
Oregano: ahead-of-time compilation for regular expressions,0,1,2,0,1,0
Static optimisations of a staged parser-combinator library,0,1,0,0,0,0
